2016 Federal Election Polling Places [Event:20499 Phase:FinalResults Generated:2017-05-11T17:36:58 Cycle:a45ea4bc-bff6-48cb-94c5-1bbaae0c7c0d Created:2017-05-11T17:29:15 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.5.84.43192],,,,,,,,,,,,,,
State,DivisionID,DivisionNm,PollingPlaceID,PollingPlaceTypeID,PollingPlaceNm,PremisesNm,PremisesAddress1,PremisesAddress2,PremisesAddress3,PremisesSuburb,PremisesStateAb,PremisesPostCode,Latitude,Longitude
NSW,103,Banks,6,1,Narwee,Narwee Public School,61-65 Broad Arrow Rd,,,NARWEE,NSW,2209,-33.9482,151.069
NSW,103,Banks,58,1,Oatley,Oatley Public School,Neville St,,,OATLEY,NSW,2223,-33.9847,151.081
NSW,103,Banks,59,1,Oatley West,Oatley West Public School,Oatley Park Ave,,,OATLEY,NSW,2223,-33.9796,151.065
NSW,103,Banks,7,1,Padstow,Padstow Park Public School,Segers Ave,,,PADSTOW,NSW,2211,-33.9542,151.031
NSW,103,Banks,8,1,Padstow East,Padstow Senior Citizens Centre,17 Cahors Rd,,,PADSTOW,NSW,2211,-33.949,151.03
NSW,103,Banks,58722,5,Padstow PPVC,Padstow TAFE,Block C Dining Room,Raine Rd,,PADSTOW,NSW,2211,-33.9480237,151.0259414
NSW,103,Banks,10,1,Padstow South,Padstow Heights Public School,Chamberlain Rd,,,PADSTOW HEIGHTS,NSW,2211,-33.9664348,151.0305364
NSW,103,Banks,11,1,Panania,Panania Senior Citizens Centre,77 Anderson Ave,,,PANANIA,NSW,2213,-33.9551,150.999
NSW,103,Banks,12,1,Panania Central,2nd Panania Scouts Hall,21 Wilson St,,,PANANIA,NSW,2213,-33.9519,150.998
NSW,103,Banks,13,1,Panania North,Panania North Public School,202-204 Bransgrove Rd,,,PANANIA,NSW,2213,-33.9451,150.999
NSW,103,Banks,14,1,Panania South,Panania Public School,21a Lawler St,,,PANANIA,NSW,2213,-33.9661,151
NSW,103,Banks,16,1,Peakhurst East,Peakhurst Public School,Bailey Pde,,,PEAKHURST,NSW,2210,-33.9553,151.061
NSW,103,Banks,17,1,Peakhurst South,Peakhurst South Public School,Pindari Rd,,,PEAKHURST HEIGHTS,NSW,2210,-33.9728147,151.0555257
NSW,103,Banks,18,1,Peakhurst West,Peakhurst West Public School,Ogilvy St,,,PEAKHURST,NSW,2210,-33.9616492,151.0489593
NSW,103,Banks,19,1,Penshurst,Penshurst Public School,Arcadia St,,,PENSHURST,NSW,2222,-33.9625909,151.0875342
NSW,103,Banks,60,1,Penshurst Central,Penshurst Girls Campus,2 Austral St,,,PENSHURST,NSW,2222,-33.9641,151.087
NSW,103,Banks,22,1,Picnic Point North,Picnic Point High School,61 Kennedy St,,,PICNIC POINT,NSW,2213,-33.9649,151.01
NSW,103,Banks,57281,1,Revesby,Revesby Y.M.C.A.,184 The River Rd,,,REVESBY,NSW,2212,-33.9542157,151.0166996
NSW,103,Banks,25,1,Revesby North (Banks),Revesby Public School,Victoria St,,,REVESBY,NSW,2212,-33.9447,151.017
NSW,103,Banks,26,1,Revesby South,Revesby South Public School,Mars St,,,REVESBY,NSW,2212,-33.9605,151.017
NSW,103,Banks,3,1,Riverwood East (Banks),Hannans Road Public School,Hannans Rd,,,RIVERWOOD,NSW,2210,-33.9459,151.058
NSW,103,Banks,27,1,Riverwood North,Riverwood Public School,Union St,,,RIVERWOOD,NSW,2210,-33.9476795,151.047088
NSW,103,Banks,28,1,Riverwood South,St Andrew's Church Hall,9 Littleton St,,,RIVERWOOD,NSW,2210,-33.9524734,151.0532173
NSW,103,Banks,33594,2,Special Hospital Team 1,Multiple sites,,,,,NSW,,,
NSW,103,Banks,14011,1,Sydney (Banks),Sydney Town Hall,George St,,,SYDNEY,NSW,2000,-33.8730501,151.2064528
NSW,104,Barton,32,1,Arncliffe,Arncliffe Community Centre Coronation Hall,23 Barden St,,,ARNCLIFFE,NSW,2205,-33.938,151.144
NSW,104,Barton,34,1,Arncliffe Central,Arncliffe Public School,168 Princes Hwy,,,ARNCLIFFE,NSW,2205,-33.9406,151.147
NSW,104,Barton,2642,1,Arncliffe West,Athelstane Public School,Athelstane Ave,,,ARNCLIFFE,NSW,2205,-33.9374,151.138
NSW,104,Barton,2643,1,Bardwell Park,Bardwell Park Infants School,4 Crewe La,,,BARDWELL PARK,NSW,2207,-33.9338,151.125
NSW,104,Barton,65982,5,Belmore BARTON PPVC,Church of Christ Hall,476 Burwood Rd,,,BELMORE,NSW,2192,-33.913395,151.104419
NSW,104,Barton,2645,1,Beverly Hills,St Bede's Anglican Church Hall,119 Morgan St,,,BEVERLY HILLS,NSW,2209,-33.9492,151.083
NSW,104,Barton,2670,1,Beverly Hills Central,Beverly Hills Uniting Church Hall,82 Ponyara Rd,,,BEVERLY HILLS,NSW,2209,-33.947,151.079
NSW,104,Barton,2646,1,Beverly Hills South (Barton),Beverly Hills Public School,cnr Stoney Creek & King Georges Rds,,,BEVERLY HILLS,NSW,2209,-33.9528,151.085
NSW,104,Barton,2647,1,Bexley,Bexley Baptist Church,484 Forest Rd,,,BEXLEY,NSW,2207,-33.9515,151.125
NSW,104,Barton,2640,1,Bexley East,Bexley Public School,330-354 Forest Rd,,,BEXLEY,NSW,2207,-33.9467,151.128
NSW,104,Barton,2649,1,Bexley North,Bexley North Public School,116 Kingsland Rd,,,BEXLEY NORTH,NSW,2207,-33.9407,151.121
NSW,104,Barton,2650,1,Bexley West,Bexley West Uniting Church Hall,80A St Georges Rd,,,BEXLEY,NSW,2207,-33.9522,151.114
NSW,104,Barton,65449,5,BLV Barton PPVC,BLV Barton,"Lvl 2, 21 King St",,,ROCKDALE,NSW,2216,-33.9527866,151.1392016
NSW,104,Barton,38,1,Brighton-Le-Sands (Barton),Brighton-Le-Sands Public School,35 Crawford Rd,,,BRIGHTON-LE-SANDS,NSW,2216,-33.9627,151.148
NSW,104,Barton,2652,1,Canterbury South,Canterbury South Public School,High St,,,CANTERBURY,NSW,2193,-33.9175,151.116
NSW,104,Barton,2653,1,Carlton,Carlton Public School,60 Cameron St,,,BEXLEY,NSW,2207,-33.9624,151.124
NSW,104,Barton,47,1,Carlton South (Barton),Carlton South Public School,Jubilee Avenue,,,CARLTON,NSW,2218,-33.9727,151.128
NSW,104,Barton,2656,1,Clemton Park,Clemton Park Public School,185 Bexley Rd,,,EARLWOOD,NSW,2206,-33.92951,151.10897
NSW,104,Barton,30095,5,Divisional Office (PREPOLL),Divisional Office,Level 2,21 King St,,ROCKDALE,NSW,2216,-33.9529008,151.1391306
NSW,104,Barton,2660,1,Earlwood Central,Our Lady of Lourdes church Hall,St James Ave,,,EARLWOOD,NSW,2206,-33.9281,151.127
NSW,104,Barton,2661,1,Earlwood South,Earlwood Public School,396 Homer St,,,EARLWOOD,NSW,2206,-33.9283,151.124
NSW,104,Barton,79724,1,Hurlstone Park (Barton),Immanual Community Church,67 Duntroon St,,,HURLSTONE PARK,NSW,2193,-33.908507,151.132444
NSW,104,Barton,2663,1,Hurstville (Barton),Hurstville Senior Citizens Centre,91 Queens Rd,,,HURSTVILLE,NSW,2220,-33.9642,151.102
NSW,104,Barton,65171,5,Hurstville BARTON PPVC,"Suite 152, Level 5",10 Park Rd,,,HURSTVILLE,NSW,2220,-33.9667124,151.1061861
NSW,104,Barton,2664,1,Hurstville East (Barton),Hurstville Public School,Forest Rd,,,HURSTVILLE,NSW,2220,-33.9641,151.111
NSW,104,Barton,2665,1,Hurstville North,Kingsway Scout Hall,Barnards Ave,,,HURSTVILLE,NSW,2220,-33.9544,151.096
NSW,104,Barton,2666,1,Kingsgrove,St Thomas'/Sth W Chinese Christian Church Hall,4 Morgan St,,,KINGSGROVE,NSW,2208,-33.9401,151.103
NSW,104,Barton,79715,1,Kingsgrove North (Barton),Kingsgrove North High School,2 St Albans Rd,,,KINGSGROVE,NSW,2208,-33.93385,151.09621
NSW,104,Barton,2667,1,Kingsgrove South,Kingsgrove High School,Kingsgrove Rd,,,KINGSGROVE,NSW,2208,-33.9494,151.102
NSW,104,Barton,50,1,Kogarah Central,Kogarah High School,Gladstone St,,,KOGARAH,NSW,2217,-33.9616,151.136
NSW,104,Barton,51,1,Kyeemagh,Kyeemagh Public School,Beehag St,,,KYEEMAGH,NSW,2216,-33.9497,151.161
NSW,104,Barton,65249,5,Marrickville BARTON PPVC,Herb Greedy Hall,79 Petersham Rd,,,MARRICKVILLE,NSW,2204,-33.913688,151.161852
NSW,104,Barton,1010,1,Marrickville South,Ferncourt Public School,74 Premier St,,,MARRICKVILLE,NSW,2204,-33.9207,151.152
NSW,104,Barton,1011,1,Marrickville West,Marrickville West Public School,Beauchamp St,,,MARRICKVILLE,NSW,2204,-33.9144,151.146
NSW,104,Barton,2662,1,North Bexley North,Kingsgrove/Bexley North Community Centre,54A Shaw Street,,,BEXLEY NORTH,NSW,2207,-33.9383,151.109
NSW,104,Barton,2672,1,North Earlwood,"Church of Christ Hall, Earlwood",6 Burlington Ave,,,EARLWOOD,NSW,2206,-33.9182,151.123
NSW,104,Barton,62,1,Rockdale,Rockdale Public School,Lord St,,,ROCKDALE,NSW,2216,-33.9527,151.142
NSW,104,Barton,33869,5,Rockdale BARTON PPVC,Old Target Building,1 Market St,Entrance in Kings La,,ROCKDALE,NSW,2216,-33.9508212,151.1387974
NSW,104,Barton,63,1,Rockdale Central,Rockdale Uniting Church Hall,11 Bay St,,,ROCKDALE,NSW,2216,-33.9537,151.139
NSW,104,Barton,2671,1,Rockdale West,St Joseph's Parish Centre,Parker Street,,,ROCKDALE,NSW,2216,-33.9504,151.136
NSW,104,Barton,33595,2,Special Hospital Team 1,Multiple sites,,,,,NSW,,,
NSW,104,Barton,33765,2,Special Hospital Team 2,Multiple sites,,,,,NSW,,,
NSW,104,Barton,38392,2,Special Hospital Team 3,Multiple sites,,,,,NSW,,,
NSW,104,Barton,14014,1,Sydney (Barton),Sydney Town Hall,George St,,,SYDNEY,NSW,2000,-33.8730501,151.2064528
NSW,104,Barton,1470,1,Tempe,Tempe High School,Unwins Bridge Rd,,,TEMPE,NSW,2044,-33.919948,151.1610947
