PollingPlaceNm,GreensVotes,TotalVotes,GreensPercentage,DivisionNm,LegCo,LocalCouncil,PremisesAddress,PremisesNm,Latitude,Longitude
Branxholm,20,206,9.7,Bass,McIntyre,Dorset,"Stoke St, BRANXHOLM 7261",Branxholm Community Hall,-41.165606,147.736480
Bridport,58,1004,5.8,Bass,McIntyre,Dorset,"Main St, BRIDPORT 7262",Bridport Hall,-41.002600,147.395000
Derby,15,121,12.4,Bass,McIntyre,Dorset,"1 Krushka St, DERBY 7264",Derby Town Hall,-41.149330,147.802360
Dilston,89,688,12.9,Bass,Windermere,Launceston City,"308 John Lees Dr, DILSTON 7252",Dilston War Memorial Hall,-41.336800,147.082000
East Launceston,280,1361,20.6,Bass,Launceston,Launceston City,"18 Mary St, EAST LAUNCESTON 7250",East Launceston Primary School,-41.441440,147.151372
Five Ways,121,1259,9.6,Bass,Launceston,Launceston City,"6 Hobart Rd, SOUTH LAUNCESTON 7249",St Mark's Church Hall,-41.459080,147.154020
George Town,80,1655,4.8,Bass,Windermere,George Town,"29-67 Macquarie St, GEORGE TOWN 7253",George Town Memorial Hall,-41.106907,146.821868
George Town South,41,1011,4.1,Bass,Windermere,George Town,"Franklin St, GEORGE TOWN 7253",South George Town Primary School,-41.112400,146.833000
Gladstone,10,150,6.7,Bass,McIntyre,Dorset,"1 Carr St, GLADSTONE 7264",Gladstone Hall,-40.960100,148.008000
Hadspen,55,1154,4.8,Lyons,Launceston,Meander Valley,"47 Main St, HADSPEN 7290",Hadspen Uniting Church Centre,-41.506400,147.064000
Hillwood,38,418,9.1,Bass,Windermere,George Town,"280 Hillwood Jetty Rd, HILLWOOD 7252",Hillwood Memorial Hall,-41.236252,146.974945
Inveresk,148,1210,12.2,Bass,Windermere,Launceston City,"35-43 Mayne St, INVERMAY 7248",Invermay Primary School,-41.421676,147.131233
Invermay,174,1568,11.1,Bass,Windermere,Launceston City,"247 Invermay Rd, INVERMAY 7248",St Finn Barr's School,-41.415700,147.132000
Karoola,37,336,11.0,Bass,Windermere,Launceston City,"1126 Pipers River Rd, KAROOLA 7267",Karoola Hall,-41.253900,147.148000
Kings Meadows,161,2231,7.2,Bass,Launceston,Launceston City,"8A Blaydon St, KINGS MEADOWS 7249",YMCA Centre,-41.467700,147.160000
Lady Barron,8,135,5.9,Bass,McIntyre,Flinders,"Barr St, LADY BARRON 7255",Holloway Park Building,-40.210500,148.243420
Launceston,273,1356,20.1,Bass,Launceston,Launceston City,"36 Paterson St, LAUNCESTON 7250",Pilgrim Hall,-41.436600,147.137000
Launceston Central,199,1116,17.8,Bass,Launceston,Launceston City,"233a Charles St, LAUNCESTON 7250",Old School,-41.442248,147.140997
Lebrina,23,244,9.4,Bass,Windermere,Launceston City,"905 Golconda Rd, LEBRINA 7254",Lebrina Memorial Hall,-41.177300,147.228000
Legana (Bass),152,1910,8.0,Bass,Rosevears,West Tamar,"43 Fulton St, LEGANA 7277",Legana Memorial Hall,-41.363200,147.047000
Lilydale,111,741,15.0,Bass,Windermere,Launceston City,"1949 Main Rd, LILYDALE 7268",Lilydale Memorial Hall,-41.252300,147.216000
Mowbray,69,1038,6.6,Bass,Windermere,Launceston City,"36 Button St, MOWBRAY 7248",Launceston Church Grammar School,-41.408140,147.131059
Newnham,131,2546,5.1,Bass,Windermere,Launceston City,"128-132 George Town Rd, NEWNHAM 7248",Launceston North Uniting Church,-41.387300,147.128000
Newstead,276,2109,13.1,Bass,Launceston,Launceston City,"148 Abbott St, NEWSTEAD 7250",Police Citizens & Youth Club,-41.447200,147.157000
