PollingPlaceNm,GreensVotes,TotalVotes,GreensPercentage,DivisionNm,LegCo,LocalCouncil,PremisesAddress,PremisesNm,Latitude,Longitude
Branxholm,20,198,10.1,Bass,McIntyre,Dorset,"Stoke St, BRANXHOLM 7261",Branxholm Community Hall,-41.165606,147.73648
Bridport,58,974,6.0,Bass,McIntyre,Dorset,"Main St, BRIDPORT 7262",Bridport Hall,-41.0026,147.395
Derby,15,119,12.6,Bass,McIntyre,Dorset,"1 Krushka St, DERBY 7264",Derby Town Hall,-41.14933,147.80236
Dilston,89,672,13.2,Bass,Windermere,Launceston City,"308 John Lees Dr, DILSTON 7252",Dilston War Memorial Hall,-41.3368,147.082
East Launceston,280,1324,21.1,Bass,Launceston,Launceston City,"18 Mary St, EAST LAUNCESTON 7250",East Launceston Primary School,-41.44144,147.151372
Five Ways,121,1206,10.0,Bass,Launceston,Launceston City,"6 Hobart Rd, SOUTH LAUNCESTON 7249",St Mark's Church Hall,-41.45908,147.15402
George Town,80,1565,5.1,Bass,Windermere,George Town,"29-67 Macquarie St, GEORGE TOWN 7253",George Town Memorial Hall,-41.106907,146.821868
George Town South,41,963,4.3,Bass,Windermere,George Town,"Franklin St, GEORGE TOWN 7253",South George Town Primary School,-41.1124,146.833
Gladstone,10,148,6.8,Bass,McIntyre,Dorset,"1 Carr St, GLADSTONE 7264",Gladstone Hall,-40.9601,148.008
Hadspen,55,1102,5.0,Lyons,Launceston,Meander Valley,"47 Main St, HADSPEN 7290",Hadspen Uniting Church Centre,-41.5064,147.064
Hillwood,38,410,9.3,Bass,Windermere,George Town,"280 Hillwood Jetty Rd, HILLWOOD 7252",Hillwood Memorial Hall,-41.236252,146.974945
Inveresk,148,1147,12.9,Bass,Windermere,Launceston City,"35-43 Mayne St, INVERMAY 7248",Invermay Primary School,-41.421676,147.131233
Invermay,174,1515,11.5,Bass,Windermere,Launceston City,"247 Invermay Rd, INVERMAY 7248",St Finn Barr's School,-41.4157,147.132
Karoola,37,328,11.3,Bass,Windermere,Launceston City,"1126 Pipers River Rd, KAROOLA 7267",Karoola Hall,-41.2539,147.148
Kings Meadows,161,2138,7.5,Bass,Launceston,Launceston City,"8A Blaydon St, KINGS MEADOWS 7249",YMCA Centre,-41.4677,147.16
Lady Barron,8,128,6.2,Bass,McIntyre,Flinders,"Barr St, LADY BARRON 7255",Holloway Park Building,-40.2105,148.24342
Launceston,273,1322,20.7,Bass,Launceston,Launceston City,"36 Paterson St, LAUNCESTON 7250",Pilgrim Hall,-41.4366,147.137
Launceston Central,199,1089,18.3,Bass,Launceston,Launceston City,"233a Charles St, LAUNCESTON 7250",Old School,-41.442248,147.140997
Lebrina,23,233,9.9,Bass,Windermere,Launceston City,"905 Golconda Rd, LEBRINA 7254",Lebrina Memorial Hall,-41.1773,147.228
Legana (Bass),152,1842,8.3,Bass,Rosevears,West Tamar,"43 Fulton St, LEGANA 7277",Legana Memorial Hall,-41.3632,147.047
Lilydale,111,714,15.5,Bass,Windermere,Launceston City,"1949 Main Rd, LILYDALE 7268",Lilydale Memorial Hall,-41.2523,147.216
Mowbray,69,1004,6.9,Bass,Windermere,Launceston City,"36 Button St, MOWBRAY 7248",Launceston Church Grammar School,-41.40814,147.131059
Newnham,131,2402,5.5,Bass,Windermere,Launceston City,"128-132 George Town Rd, NEWNHAM 7248",Launceston North Uniting Church,-41.3873,147.128
Newstead,276,2055,13.4,Bass,Launceston,Launceston City,"148 Abbott St, NEWSTEAD 7250",Police Citizens & Youth Club,-41.4472,147.157
Norwood,173,2309,7.5,Bass,Launceston,Launceston City,"103 Norwood Ave, NORWOOD 7250",Norwood Primary School,-41.4621,147.174
Nunamara,37,332,11.1,Bass,Windermere,Launceston City,"39461 Tasman Hwy, NUNAMARA 7259",Nunamara Memorial Hall,-41.394,147.296
Pipers River,17,225,7.6,Bass,Windermere,George Town,"76 School Rd, PIPERS RIVER 7252",Pipers River Fire Station,-41.1006,147.091
Prospect,130,1984,6.6,Bass,Rosevears,Launceston City,"282 Westbury Rd, PROSPECT 7250",St Patrick's College,-41.472,147.126
Prospect Vale,71,1220,5.8,Lyons,Launceston,Meander Valley,"12 Casino Rise, PROSPECT VALE 7250",Residential Retirement Village Clubrooms,-41.4782,147.11
Ravenswood,77,1625,4.7,Bass,Windermere,Launceston City,"27 Prossers Forest Rd, RAVENSWOOD 7250",Ravenswood Primary School,-41.415955,147.179654
Ringarooma,11,322,3.4,Bass,McIntyre,Dorset,"4 Charles St, RINGAROOMA 7263",Ringarooma Hall,-41.24241,147.73568
Riverside,203,2100,9.7,Bass,Rosevears,West Tamar,"354 West Tamar Hwy, RIVERSIDE 7250",Riverside High School,-41.40936,147.09861
Riverside West,110,1328,8.3,Bass,Rosevears,West Tamar,"34 Pitt Ave, TREVALLYN 7250",Trevallyn Life Church,-41.4301,147.106
Rocherlea,32,856,3.7,Bass,Windermere,Launceston City,"215 George Town Rd, ROCHERLEA 7248",Brooks High School,-41.378531,147.121503
Scottsdale,62,1625,3.8,Bass,McIntyre,Dorset,"20 Coplestone Rd, SCOTTSDALE 7260",Scottsdale High School,-41.157117,147.508674
South Launceston,113,640,17.7,Bass,Rosevears,Launceston City,"313-315 Wellington St, LAUNCESTON 7250",Launceston RSL,-41.45296,147.14393
St Leonards,85,1380,6.2,Bass,Windermere,Launceston City,"330-342 St Leonards Rd, ST LEONARDS 7250",St Leonards Primary School,-41.4597,147.2
Summerhill,163,3048,5.3,Bass,Rosevears,Launceston City,"82-84 Stanley St, SUMMERHILL 7250",Summerdale Community Centre,-41.4683,147.12971
Trevallyn,386,1600,24.1,Bass,Rosevears,West Tamar,"55 Gorge Rd, TREVALLYN 7250",Trevallyn Primary School,-41.4381,147.115
